,Species,Gender,Personality,Hobby,Style1,Style2,Color1,Color2
249,7.0,0.0,7.0,1.0,3.0,4.0,4.0,10.0
250,2.0,1.0,3.0,5.0,5.0,5.0,12.0,6.0
251,32.0,0.0,5.0,1.0,2.0,0.0,11.0,13.0
252,7.0,0.0,4.0,4.0,2.0,5.0,12.0,7.0
253,29.0,1.0,6.0,4.0,0.0,1.0,2.0,7.0
254,25.0,1.0,1.0,5.0,1.0,5.0,1.0,12.0
255,1.0,1.0,6.0,0.0,3.0,4.0,11.0,1.0
256,8.0,0.0,4.0,4.0,5.0,5.0,3.0,13.0
257,5.0,0.0,7.0,3.0,1.0,3.0,12.0,1.0
258,13.0,0.0,7.0,1.0,3.0,1.0,1.0,8.0
259,21.0,1.0,3.0,5.0,5.0,2.0,13.0,8.0
260,28.0,0.0,7.0,3.0,2.0,4.0,11.0,13.0
261,1.0,0.0,5.0,1.0,3.0,1.0,8.0,10.0
262,13.0,1.0,3.0,4.0,5.0,3.0,5.0,7.0
263,19.0,1.0,3.0,4.0,5.0,5.0,8.0,7.0
264,15.0,0.0,0.0,3.0,1.0,3.0,11.0,4.0
265,11.0,0.0,5.0,1.0,5.0,2.0,13.0,12.0
266,7.0,0.0,5.0,1.0,5.0,2.0,8.0,11.0
267,2.0,0.0,0.0,2.0,2.0,0.0,8.0,6.0
268,19.0,0.0,4.0,0.0,2.0,5.0,4.0,7.0
269,32.0,0.0,5.0,1.0,2.0,2.0,11.0,4.0
270,32.0,0.0,7.0,1.0,3.0,4.0,10.0,0.0
271,3.0,1.0,2.0,5.0,5.0,0.0,0.0,11.0
272,16.0,1.0,1.0,2.0,0.0,1.0,8.0,2.0
273,28.0,0.0,5.0,1.0,2.0,0.0,2.0,11.0
274,8.0,0.0,4.0,4.0,3.0,2.0,11.0,0.0
275,24.0,0.0,5.0,1.0,2.0,4.0,9.0,11.0
276,26.0,1.0,6.0,3.0,3.0,1.0,6.0,11.0
277,26.0,0.0,0.0,2.0,4.0,1.0,1.0,11.0
278,12.0,1.0,2.0,2.0,3.0,0.0,8.0,13.0
279,31.0,1.0,6.0,3.0,4.0,5.0,4.0,11.0
280,2.0,0.0,5.0,1.0,2.0,5.0,11.0,9.0
281,3.0,0.0,5.0,5.0,3.0,4.0,1.0,12.0
282,29.0,0.0,5.0,1.0,2.0,5.0,6.0,3.0
283,6.0,0.0,0.0,5.0,1.0,5.0,7.0,13.0
284,11.0,0.0,5.0,3.0,2.0,5.0,9.0,7.0
285,8.0,1.0,2.0,2.0,5.0,5.0,8.0,13.0
286,32.0,0.0,4.0,0.0,2.0,3.0,6.0,13.0
287,10.0,0.0,7.0,1.0,3.0,4.0,10.0,1.0
288,14.0,1.0,3.0,5.0,5.0,0.0,13.0,12.0
289,27.0,1.0,3.0,2.0,0.0,5.0,2.0,11.0
290,14.0,0.0,5.0,1.0,2.0,4.0,6.0,9.0
291,8.0,1.0,3.0,5.0,5.0,5.0,6.0,2.0
292,5.0,1.0,3.0,5.0,5.0,5.0,2.0,7.0
293,5.0,0.0,7.0,1.0,1.0,3.0,5.0,2.0
294,26.0,0.0,7.0,1.0,4.0,3.0,1.0,5.0
295,11.0,1.0,6.0,3.0,3.0,1.0,0.0,8.0
296,14.0,1.0,3.0,4.0,3.0,5.0,12.0,5.0
297,28.0,1.0,1.0,3.0,1.0,5.0,2.0,1.0
298,5.0,1.0,6.0,4.0,3.0,1.0,1.0,5.0
299,30.0,0.0,0.0,3.0,1.0,0.0,10.0,13.0
300,19.0,0.0,0.0,5.0,1.0,4.0,1.0,10.0
301,22.0,1.0,3.0,4.0,5.0,2.0,2.0,7.0
302,30.0,0.0,4.0,3.0,3.0,4.0,10.0,1.0
303,14.0,1.0,2.0,2.0,5.0,0.0,2.0,7.0
304,32.0,1.0,1.0,0.0,1.0,5.0,2.0,11.0
305,24.0,1.0,1.0,0.0,5.0,1.0,1.0,5.0
306,27.0,1.0,2.0,2.0,0.0,5.0,11.0,13.0
307,3.0,0.0,7.0,1.0,3.0,1.0,7.0,10.0
308,18.0,1.0,1.0,0.0,5.0,1.0,13.0,1.0
309,16.0,0.0,0.0,2.0,0.0,1.0,9.0,11.0
310,24.0,1.0,2.0,2.0,0.0,1.0,2.0,7.0
311,4.0,1.0,3.0,2.0,5.0,1.0,1.0,11.0
312,17.0,1.0,6.0,3.0,4.0,1.0,9.0,4.0
313,33.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0
314,20.0,1.0,1.0,2.0,0.0,0.0,5.0,1.0
315,22.0,1.0,2.0,3.0,5.0,0.0,2.0,11.0
316,19.0,1.0,1.0,3.0,1.0,4.0,1.0,5.0
317,5.0,0.0,5.0,3.0,2.0,2.0,9.0,11.0
318,33.0,1.0,2.0,2.0,0.0,5.0,7.0,5.0
319,29.0,0.0,5.0,4.0,2.0,0.0,7.0,9.0
320,5.0,1.0,2.0,5.0,0.0,5.0,13.0,0.0
321,32.0,0.0,4.0,3.0,5.0,3.0,12.0,0.0
322,24.0,1.0,2.0,2.0,5.0,0.0,11.0,13.0
323,26.0,0.0,4.0,4.0,5.0,1.0,7.0,12.0
324,19.0,0.0,4.0,3.0,1.0,5.0,7.0,2.0
325,11.0,1.0,2.0,2.0,0.0,5.0,0.0,2.0
326,23.0,0.0,0.0,3.0,2.0,0.0,7.0,13.0
327,32.0,1.0,2.0,5.0,0.0,1.0,6.0,13.0
328,10.0,1.0,6.0,0.0,5.0,1.0,7.0,2.0
329,15.0,1.0,3.0,4.0,5.0,2.0,5.0,2.0
330,23.0,1.0,3.0,5.0,5.0,0.0,11.0,4.0
331,34.0,0.0,4.0,3.0,2.0,2.0,2.0,12.0
332,0.0,1.0,2.0,5.0,1.0,5.0,3.0,6.0
333,29.0,1.0,2.0,2.0,0.0,5.0,1.0,2.0
334,1.0,0.0,7.0,0.0,5.0,5.0,6.0,13.0
335,17.0,0.0,7.0,0.0,1.0,4.0,11.0,13.0
336,3.0,1.0,2.0,5.0,0.0,5.0,6.0,5.0
337,30.0,1.0,1.0,4.0,1.0,4.0,1.0,5.0
338,28.0,1.0,3.0,5.0,5.0,0.0,6.0,4.0
339,27.0,0.0,5.0,5.0,2.0,3.0,7.0,12.0
340,26.0,1.0,2.0,3.0,5.0,0.0,8.0,6.0
341,32.0,1.0,1.0,3.0,1.0,0.0,1.0,13.0
342,31.0,0.0,4.0,4.0,5.0,5.0,13.0,0.0
343,12.0,1.0,2.0,2.0,5.0,3.0,2.0,11.0
344,5.0,1.0,2.0,2.0,0.0,5.0,11.0,2.0
345,8.0,1.0,3.0,5.0,5.0,2.0,4.0,12.0
346,4.0,1.0,3.0,4.0,5.0,5.0,3.0,0.0
347,21.0,0.0,4.0,3.0,2.0,5.0,0.0,13.0
348,32.0,0.0,4.0,4.0,2.0,5.0,6.0,10.0
349,20.0,0.0,0.0,3.0,5.0,4.0,13.0,6.0
350,4.0,1.0,1.0,0.0,1.0,5.0,2.0,1.0
351,5.0,0.0,5.0,3.0,0.0,1.0,1.0,5.0
352,14.0,1.0,2.0,5.0,0.0,5.0,13.0,4.0
353,23.0,0.0,5.0,1.0,2.0,0.0,10.0,6.0
354,8.0,0.0,0.0,5.0,1.0,0.0,11.0,10.0
355,5.0,0.0,5.0,3.0,5.0,2.0,6.0,13.0
356,30.0,1.0,2.0,2.0,0.0,5.0,11.0,6.0
357,32.0,0.0,7.0,2.0,3.0,4.0,0.0,5.0
358,2.0,1.0,2.0,2.0,5.0,5.0,13.0,8.0
359,27.0,1.0,6.0,3.0,1.0,3.0,1.0,5.0
360,13.0,0.0,4.0,4.0,2.0,3.0,1.0,12.0
361,29.0,0.0,7.0,1.0,4.0,1.0,1.0,11.0
362,31.0,0.0,7.0,0.0,3.0,4.0,6.0,3.0
363,7.0,0.0,7.0,1.0,4.0,2.0,4.0,9.0
364,5.0,1.0,1.0,0.0,1.0,5.0,1.0,5.0
365,28.0,0.0,5.0,1.0,2.0,4.0,6.0,11.0
366,13.0,1.0,3.0,4.0,0.0,5.0,13.0,8.0
367,2.0,0.0,5.0,1.0,2.0,5.0,9.0,11.0
368,3.0,0.0,5.0,1.0,5.0,2.0,9.0,2.0
369,33.0,1.0,2.0,5.0,0.0,5.0,2.0,10.0
370,2.0,0.0,0.0,3.0,5.0,2.0,11.0,8.0
371,15.0,0.0,7.0,0.0,3.0,4.0,7.0,10.0
372,31.0,0.0,4.0,1.0,5.0,2.0,8.0,11.0
373,4.0,1.0,1.0,2.0,1.0,0.0,7.0,2.0
374,19.0,0.0,5.0,2.0,0.0,5.0,13.0,8.0
375,16.0,0.0,7.0,2.0,4.0,1.0,10.0,9.0
376,34.0,0.0,7.0,0.0,4.0,3.0,5.0,10.0
377,8.0,1.0,1.0,5.0,5.0,1.0,13.0,4.0
378,27.0,1.0,3.0,4.0,5.0,4.0,7.0,2.0
379,10.0,1.0,3.0,5.0,5.0,5.0,8.0,11.0
380,20.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0
381,14.0,1.0,1.0,0.0,5.0,5.0,2.0,10.0
382,11.0,1.0,3.0,4.0,1.0,5.0,2.0,1.0
383,31.0,0.0,5.0,1.0,1.0,4.0,11.0,6.0
384,34.0,0.0,7.0,1.0,3.0,1.0,2.0,7.0
385,31.0,0.0,7.0,1.0,2.0,4.0,12.0,9.0
386,19.0,0.0,5.0,1.0,1.0,5.0,12.0,5.0
387,34.0,1.0,1.0,0.0,1.0,0.0,1.0,6.0
388,21.0,0.0,7.0,1.0,1.0,3.0,8.0,13.0
389,9.0,1.0,6.0,3.0,1.0,4.0,10.0,5.0
390,25.0,1.0,3.0,4.0,5.0,2.0,2.0,13.0
